sector,ebx,item,verdict,reason,비고
EM,EBX-Q-023,환경 성과 지표 및 환경 사고 현황,borderline,"항목은 환경 법규 위반·환경 사고 건수 등 지표인데, J는 사내 관리기준 강화·오염물질 배출량 모니터링·저감시설 투자·CP·안전환경위원회 등 관리 체계 서술. 위반/사고 건수 같은 구체 지표가 아닌 관리체계 중심으로 하위주제가 빗나감.",
EM,EBX-Q-025,윤리경영 조직 및 운영 체계,borderline,"항목은 윤리경영 조직·윤리위원회·내부 신고 제도인데, J는 이사회 산하 감사위원회(사외이사 3명, 회계감사, 내부회계관리, 개최 횟수) 중심. 감사위원회는 구조개요상 소주제에 포함되나 윤리위원회/내부신고 제도라는 핵심 하위주제는 부재.",
FN,EBX-Q-010,인권 리스크 식별 및 대응 활동,borderline,"전반부는 인권영향평가(국가인권위원회·ILO 가이드 기반 지표·진단·실사)로 인권 리스크 주제에 부합하나, 후반부가 SBTi 참여·미국 IDEA·독일 레드닷 디자인 어워드 수상·레이싱 대회 입상·글로벌 완성차 공급·사회공헌 등으로 크게 벗어남. 같은 사회/ESG 영역이지만 인권 리스크 하위주제에서 이탈. (국가인권위원회·ILO는 공공기관/표준으로 누출 아님; IDEA·레드닷은 수상명이지 출처기업명 아님)",
FN,EBX-Q-011,인권 관련 고충 및 처리 현황,borderline,"항목은 인권 침해 신고·고충 처리·노동 분쟁 등 지표(현황)를 요구하나, J는 인권영향평가의 대상·구성(성별·근속별 분석, 36개 문항)을 서술. 같은 인권 영역이나 '고충 처리 통계'가 아니라 '인권영향평가 구성'으로 하위주제가 빗나감. (지주·계열사는 마스킹된 일반어로 회사명 누출 아님)",
FN,EBX-Q-013,품질 관리 조직 및 책임,borderline,"항목은 품질 관리 조직 구조·책임 체계를 요구하나, J는 ISO 22301(BCMS·사업연속성)·비상대응조직·집단감염 방지가 중심이고 품질경영(ISO 9001/13485·GMP)은 인증 나열 수준. 같은 품질/제품안전 영역이나 '조직·책임(R&R)' 구조 서술이 약하고 사업연속성으로 치우침. (팔탄플랜트는 사업장 지명으로 회사명 누출 아님)",
FN,EBX-Q-015,제품 안전 및 품질 관련 사고 현황,borderline,"항목은 리콜 건수·안전 사고 건수·고객 불만 건수 등 지표(사고 현황)를 요구하나, J는 품질 보상·보험 제도와 고객 불만 대응 프로세스를 정성 서술할 뿐 사고·불만 건수 수치가 없음. 같은 제품안전 영역이나 Metrics 하위주제(건수)가 미흡. (의료기기·의약품은 업종 일반어)",
FN,EBX-Q-019,개인정보 침해 및 정보보안 사고 현황,borderline,"항목은 개인정보 침해 건수·유출 사고 건수·법규 위반 건수 등 지표(사고 현황)를 요구하나, J는 4대 정보보안 추진 전략과 사고 ZERO 목표·사기방지 서비스 등 리스크 관리 활동을 서술(Q-018과 사실상 중복). 같은 정보보호 영역이나 실제 사고 건수 지표가 없어 Metrics 하위주제에서 빗나감.",
FN,EBX-Q-021,환경경영 조직 및 책임,borderline,"항목은 환경경영 조직 구조·책임 체계·사업장 환경 관리 체계를 요구하나, J는 녹색구매 정책과 화학물질관리법 법정교육·임직원/협력사 환경교육이 중심이며 조직·책임(R&R) 서술은 상장사 4개사 ESG위원회 승인 정도로 얇음. 같은 환경 영역이나 '조직·책임'보다 정책·교육으로 치우침. (계열사명 마스킹됨)",
FB,EBX-Q-009,노동 및 인권 관리 체계,borderline,"J 본문이 노동·인권 전담 관리체계가 아니라 준법경영/컴플라이언스 리스크 관리 프로세스를 중심으로 서술됨. 노동·인권은 컴플라이언스 이슈 중 하나로만 언급되고, 고충처리·내부고발 채널은 항목 주제와 일치하나 전체 프레이밍이 윤리·준법 거버넌스 쪽으로 약간 빗나감. 동일 사회 영역이나 정확한 하위주제(노동·인권 전담 조직/체계)에서 살짝 어긋남. EthicsPoint는 제3자 내부고발 플랫폼 일반명이라 누출 아님.",
FB,EBX-Q-010,인권 리스크 식별 및 대응 활동,borderline,"주제(인권실사·인권영향평가·인권구제위원회·신고채널)는 항목과 명확히 일치해 내용상 on_topic이나, 발췌 본문에 출처기업을 식별시키는 계열사명 'PCPPI'가 [동종사례]로 마스킹되지 않고 원문대로 남아 회사명 누출이 발생함. 누출 의심 항목으로 플래그.",발췌시_누출→마스킹보강_제거완료
FB,EBX-Q-011,인권 관련 고충 및 처리 현황,borderline,"항목은 지표(인권 침해 신고 건수·고충 처리·노동 분쟁 건수 등 정량 통계)인데 J 본문은 UNGC/ILO 지지, 인권선언 원칙, 인권교육·인권실사 등 인권경영 '정책·체계'를 서술하고 정량 고충/처리 통계가 없음. 동일 인권 영역이나 정확한 하위주제(고충·처리 현황 지표)에서 빗나감.",
FB,EBX-Q-015,제품 안전 및 품질 관련 사고 현황,borderline,항목은 지표(제품 리콜·안전 사고·품질 불만 건수 등)인데 J 본문은 방위산업 기업의 제품 수명주기 품질관리·A/S·기술대응 체계를 서술하며 리콜/사고 건수 등 정량 사고 지표가 없음. 동일 품질·제품안전 영역이나 하위주제(사고 현황 지표)에서 빗나감(타 업종 출처).,
FB,EBX-Q-019,개인정보 침해 및 정보보안 사고 현황,borderline,"항목은 지표(개인정보 침해 건수·유출 사고 건수·법규 위반 건수 등)인데 J 본문은 개인정보보호법 준수, 민감정보 폐기, 보안 뉴스레터·대응 훈련 등 예방·통제 활동을 서술하고 침해/사고 정량 통계가 없음. 동일 정보보호 영역이나 하위주제(사고 현황 지표)에서 빗나감.",
HC,EBX-Q-002,ESG 거버넌스 및 의사결정 체계,borderline,"항목은 ESG 전반의 의사결정·거버넌스 체계인데, J 본문은 '친환경 정책·환경경영 리스크·4대 환경경영 방침·친환경 경영 거버넌스' 등 환경경영 거버넌스에 한정됨. 전담조직·이사회·지속가능경영위원회 구조를 다루므로 같은 거버넌스 영역이나 ESG 전반이 아닌 환경(E) 거버넌스로 하위주제가 좁혀짐.",
HC,EBX-Q-011,인권 관련 고충 및 처리 현황,borderline,"항목은 고충 접수·처리 건수, 노동 분쟁 통계 등 정량 지표(Metrics)인데, J 본문은 인권경영 체계·결사의 자유·노사협의회·고충 처리 시스템을 정성 서술하고 수치가 없으며, 후반부는 환경경영 시스템으로 흐름. 같은 노동·인권 영역이나 지표(고충 처리 현황)라는 하위주제와 정량성에서 빗나감.",
HC,EBX-Q-012,제품 안전 및 품질 관리 정책,borderline,"주제(제품 안전·품질 관리 정책)는 on_topic으로 잘 맞으나, J 본문 'SBL QMS 시스템'의 'SBL'이 [동종사례]로 마스킹되지 않고 남아 출처기업(삼성바이오로직스)을 식별시키는 고유 약어 누출 의심. 누출 사유로 플래그.",발췌시_누출→마스킹보강_제거완료
HC,EBX-Q-025,윤리경영 조직 및 운영 체계,borderline,"항목은 윤리경영 전담 조직·윤리위원회 운영·내부 신고 제도인데, J 본문은 감사·내부거래·ESG·경영·사외이사후보추천 등 이사회 내 5개 위원회 전반의 구성·개최 현황을 다룸. 작성지침이 '이사회 내 위원회 현황·감사위원회 구성'을 포함하므로 거버넌스 영역 내이나, 윤리위원회/내부신고 제도라는 정확한 하위주제는 다루지 않고 일반 위원회 체제로 빗나감.",
IF,EBX-Q-002,ESG 거버넌스 및 의사결정 체계,borderline,"거버넌스 영역은 맞으나 J 본문이 '환경경영 거버넌스'(이사회·지속가능경영위원회의 환경경영 감독, ISO 14001 EMS 구축)에 치우쳐 일반 ESG 의사결정 체계 서술이 아닌 환경 하위주제로 빗나감. 이사회/위원회 감독 구조는 다루므로 off_topic은 아님.",
IF,EBX-Q-011,인권 관련 고충 및 처리 현황,borderline,"지표(Metrics) 항목으로 고충·신고·분쟁 건수 통계를 기대하나, J 본문은 TCFD 기후변화 공시 지지 선언과 인권보호·강제/아동노동 철폐 '원칙' 선언이 주를 이룸. 고충 처리 현황 수치가 전무. 인권 영역 안이지만 고충 통계라는 하위주제를 벗어남.",
IF,EBX-Q-013,품질 관리 조직 및 책임,borderline,품질 관리 조직을 기대하나 J 본문 전반부가 안전보건 경영방침·안전보건관리규정·안전문화 캠페인(안전보건 조직)으로 시작. 후반에 ISO 9001:2015·항공우주 품질경영시스템(KS Q 9100/AS9100)·이사회 산하 안전위원회로 품질 인증 체계를 다루나 안전보건 조직과 혼재되어 정확한 품질 조직 서술이 흐려짐.,
IF,EBX-Q-019,개인정보 침해 및 정보보안 사고 현황,borderline,"지표(Metrics) 항목으로 침해·유출 사고 건수 통계를 기대하나, J 본문은 모의해킹·재해복구·분양현장/고객센터 현장점검 등 '예방 활동' 위주로 실제 사고 발생 수치가 없음. 정보보호 영역은 맞으나 성과지표 하위주제는 비어 있음.",
IF,EBX-Q-021,환경경영 조직 및 책임,borderline,"주제 자체는 on_topic(대표이사 직속 전담조직·EHS 위원회 등 환경경영 거버넌스 서술)이나, 회사 식별 가능 고유 시설명(안산공장·오송공장·예산공장)이 [동종사례]로 가려지지 않고 원문대로 남아 제약/바이오/건강 계열 그룹을 특정할 수 있어 누출 의심으로 플래그함(토픽 판정은 on_topic).",발췌시_누출→마스킹보강_제거완료
IF,EBX-Q-023,환경 성과 지표 및 환경 사고 현황,borderline,"지표(Metrics) 항목으로 환경법규 위반·환경사고 건수 및 배출량 등 정량 지표를 기대하나, J 본문은 폐기물 관리·탄소중립·연료 전환 등 정책·활동 서술과 '환경법규 위반 제로화' 목표 위주로 구체적 성과 수치가 없음. 환경 영역은 맞으나 정량 성과 하위주제 미흡.",
IF,EBX-Q-025,윤리경영 조직 및 운영 체계,borderline,"윤리경영 조직·운영체계의 핵심(이사회 내 위원회의 윤리규범 제개정 의결·윤리헌장 반영)은 다루나, 전동화 차량 전환·RE100·이사 보수 책정 기준·자동차 안전 정부규제 등 윤리조직과 무관한 거버넌스/전략 내용이 상당 부분 혼재되어 하위주제가 빗나감.",
RR,EBX-Q-016,정보보안 및 개인정보 보호 정책,borderline,"J 본문 대부분이 코로나로 인한 대학생 봉사단 중단·베트남 드림스쿨 신축 등 사회공헌 내용이며, 정보보안/개인정보 보호 정책은 마지막 한 문장(정보보호 정책 3단 구조)만 다룸. 같은 ESG 영역이나 정보보호 정책이라는 정확한 하위주제에서 크게 빗나감(K 재서술도 드림스쿨을 '정보보안 교육 시설'로 오인).",
RR,EBX-Q-025,윤리경영 조직 및 운영 체계,borderline,"항목은 윤리경영 조직·윤리위원회·내부신고 제도이나, J는 이사 보수한도·공시책임자·재무보고·감사위원회 구성(3인 이상, 사외이사 2/3) 등 일반 지배구조/공시 코드 내용 위주. 윤리규범 공시는 한 문장뿐이고 윤리위원회·내부신고제도는 부재. 거버넌스 영역은 맞으나 정확한 하위주제(윤리조직/신고제도)는 빗나감.",
RT,EBX-Q-007,산업재해 발생 현황 및 안전 성과 지표,borderline,"지표(Metrics) 항목으로 재해율·LTIFR·재해건수 등 안전 성과 수치를 요구하나, J는 안전 교육·훈련, 중대재해처벌법 컴플라이언스 컨설팅, 'Safety Golden Rules' 제정 등 정책·활동 서술뿐 — 성과 지표/통계가 없음. 같은 안전보건 영역이나 하위주제(지표)는 빗나감.",
RT,EBX-Q-011,인권 관련 고충 및 처리 현황,borderline,"지표 항목으로 고충 접수·처리 건수, 노동분쟁 건수 등 통계를 요구하나, J는 인권선언 원칙·차별금지·고충처리 프로세스·인권교육·인권실사 등 정책/체계 서술 — 정량 지표 부재. 같은 인권 영역이나 지표 하위주제는 빗나감.",
RT,EBX-Q-015,제품 안전 및 품질 관련 사고 현황,borderline,"지표 항목으로 리콜 건수·안전사고 건수·고객불만 건수를 요구하나, J는 공정관리·품질 프로세스 감사·파트너사 행동규범·R&D 역량 강화 등 활동 서술이며 사고 현황 수치가 없음. 일부는 공급망/연구개발로 드리프트.",
RT,EBX-Q-019,개인정보 침해 및 정보보안 사고 현황,borderline,"지표 항목으로 침해 건수·유출 사고 건수·법규 위반 건수를 요구하나, J는 정보보호 공시(투자/인력/인증), 보안교육, 개인정보처리 시스템 모니터링 등 활동 서술 — 사고 발생 통계가 없음. 같은 정보보호 영역이나 지표 하위주제는 빗나감.",
RT,EBX-Q-020,환경경영 정책 및 목표,borderline,"정책·목표(Strategy) 항목으로 환경 정책·관리 원칙·환경 목표를 요구하나, J는 환경부 등 주관 '산업계 기후위기 적응협의체' 참여라는 외부 활동만 서술 — 자사 환경경영 방침·정량 목표가 없음. 같은 환경 영역이나 정확한 하위주제(정책·목표)는 약간 빗나감. (환경부·한국환경연구원·국가기후위기적응센터는 공공기관, 누출 아님)",
SV,EBX-Q-007,산업재해 발생 현황 및 안전 성과 지표,borderline,같은 사회/안전 영역이나 J는 회사 자체의 산재 발생·재해율(LTIFR)·안전교육 같은 안전 성과지표가 아니라 '파트너사 정기평가 가감점(재무·안전보건·ESG)' 점수 산정 내용. 안전지표가 협력사 평가의 감점 기준으로만 등장 → 정확한 하위주제(자사 안전 성과 KPI)에서 빗나감.,
SV,EBX-Q-011,인권 관련 고충 및 처리 현황,borderline,지표(인권 침해 신고 건수·고충 처리·노동 분쟁 통계) 항목인데 J는 한국표준협회 진단 병행 인권영향평가 실시·교육 이수·소식지/설문지 제작 등 '활동·체계' 서술. 같은 인권 영역이나 고충·처리 현황 통계 KPI는 제시되지 않음.,
SV,EBX-Q-013,품질 관리 조직 및 책임,borderline,"품질 관리 전담 조직·품질경영시스템(ISO 9001) 항목인데 J는 전사 '리스크 관리 전담 조직'(재무·비재무, ESG 리스크 관리규정, 감사위원회·이사회 보고) 서술. 품질은 비재무 운영 리스크의 한 세부요소로만 스침 → 거버넌스/조직 영역은 같으나 품질 조직 자체는 아님.",
SV,EBX-Q-014,제품 품질 및 안전 리스크 관리,borderline,제품 개발·생산·판매 과정의 품질/안전 리스크(리콜 등) 항목인데 J는 '공급망(파트너사) ESG 평가·상생협약·맞춤 피드백' 내용. 리스크 관리 영역이나 대상이 제품이 아닌 협력사 ESG → 하위주제 빗나감.,
SV,EBX-Q-019,개인정보 침해 및 정보보안 사고 현황,borderline,지표(개인정보 침해 건수·데이터 유출 사고 건수·법규 위반 건수) 항목인데 J는 정보보호 관리체계 운영·비상연락망·대응 가이드·담당자 교육 등 '관리/대응 활동' 서술. 사고 건수 등 정량 현황 KPI 없음 → 같은 정보보호 영역이나 지표 하위주제는 빗나감.,
SV,EBX-Q-025,윤리경영 조직 및 운영 체계,borderline,"윤리경영 조직·윤리위원회·내부 신고 항목인데 J 본문은 '인권경영' 거버넌스(인권경영 헌장 제·개정, 인권침해 신고 채널, 노무 자문) 위주. 윤리위원회는 인권침해 사례 심의 주체로만 등장 → 거버넌스 영역 같으나 초점이 인권경영 체계로 이동.",
TC,EBX-Q-013,품질 관리 조직 및 책임,borderline,"같은 품질 영역이나 항목이 요구하는 '조직 구조·R&R·전담조직'은 거의 다루지 않고, 데이터 기반 공정 분석·비상계획·인증 유지·해외 수주 실적(46.5억 달러) 위주로 빗나감. 조직/책임 체계 서술이 약함.",
TC,EBX-Q-016,정보보안 및 개인정보 보호 정책,borderline,같은 정보보호 영역이나 항목 핵심(정책·데이터 보호 원칙·관리 기준 선언)보다 개인정보 교육 이수율 100%·위반/사고 0건 등 교육 실적·지표 위주로 기울어 정확한 하위주제(정책)는 약간 빗나감.,
TC,EBX-Q-019,개인정보 침해 및 정보보안 사고 현황,borderline,"지표(침해 건수·유출 사고 건수·법규 위반 건수) 항목인데 J는 ISO 27001·TISAX 인증, 유출 모니터링·네트워크 차단 등 통제·인증 위주로 실제 사고 통계가 거의 없음. 같은 정보보호 영역이나 metrics 하위주제는 빗나감.",
TC,EBX-Q-021,환경경영 조직 및 책임,borderline,환경경영 조직 항목인데 J는 6대 안전보건환경 경영방침·ISO 45001(산업안전보건 인증)·안전보건 비전 등 안전보건(SHE) 위주로 환경 조직 R&R보다 안전 쪽에 치우침. 같은 광의 영역이나 정확한 하위주제는 빗나감. 추가로 회사명 누출.,발췌시_누출→마스킹보강_제거완료
TC,EBX-Q-023,환경 성과 지표 및 환경 사고 현황,borderline,환경 성과 지표·사고 현황(배출량·폐기물·법규 위반·환경 사고) 항목인데 J는 'Asia-Pacific Climate Leaders' 외부 수상 선정 서사 위주로 실제 성과 지표/사고 수치가 없음. 같은 기후/환경 영역이나 metrics 하위주제는 빗나감.,
TC,EBX-Q-025,윤리경영 조직 및 운영 체계,borderline,윤리경영 조직(윤리위원회·내부 신고 제도) 항목인데 J는 감사위원회 개최·외부 감사인 컴플라이언스 감사·내부회계관리제도·임원배상책임보험 등 감사위원회/거버넌스 감독 위주. 윤리위원회·내부신고 체계 서술이 약해 빗나감.,
TC,EBX-Q-027,윤리 위반 및 준법 관련 사건 현황,borderline,윤리 위반·부패 사건 현황(신고 건수·부패 사건 건수·처리 현황) 지표 항목인데 J는 준법감시 교육 통계(과정·수료 인원)와 신고 접수·처리 절차(20영업일) 위주로 실제 위반/부패 사건 건수는 없음. 같은 준법/윤리 영역이나 metrics 하위주제는 빗나감.,
TR,EBX-Q-001,ESG 비전 및 중장기 전략,borderline,J 본문은 사회공헌(community/사회공헌 프로그램·인재양성·지역사회 활동)을 중장기 경영 요소로 다룸. ESG 영역 안이나 '비전·중장기 전략' 핵심 하위주제가 아니라 사회공헌 중심으로 빗나감. 실무는 브랜드전략팀·정도경영위원회 보고로 서술.,
TR,EBX-Q-003,ESG 리스크 식별 및 관리 체계,borderline,"J 대부분이 소외계층 대상 나무 양육·전달, ESG 모바일 앱('스트라이더') 등 사회공헌·친환경 캠페인 활동. '리스크 식별 체계 운영'은 마지막 한 줄에만 등장. 리스크 식별·관리 체계라는 하위주제와는 약간 빗나감(같은 ESG 영역).",
TR,EBX-Q-006,산업안전 리스크 식별 및 예방 활동,borderline,"주제(위험성평가·PSM·안전교육·안전점검)는 on_topic이나, '마곡중앙연구소'라는 특정 연구소(지명+시설명)가 원문대로 남아 출처기업 식별 가능성. 누출 의심으로 플래그.",발췌시_누출→마스킹보강_제거완료
TR,EBX-Q-015,제품 안전 및 품질 관련 사고 현황,borderline,"항목은 리콜·안전사고·품질불만 '건수' 등 사고 현황 지표. J는 지표중심→고객중심 품질관리 전환, 3대 추진전략, 250개 고객사 교류회 등 품질경영 전략/대고객 활동 중심. 같은 제품품질 영역이나 사고현황 지표 하위주제는 약간 빗나감.",
TR,EBX-Q-019,개인정보 침해 및 정보보안 사고 현황,borderline,"항목은 개인정보 침해 건수·유출 사고·법규 위반 등 사고 현황 지표. J는 임직원 교육, 정보보호 투자/인력 공시, 권한 모니터링, 365일 보안관제 등 예방활동·공시 중심으로 침해/사고 통계는 없음. 같은 정보보호 영역이나 사고현황 지표 하위주제와 빗나감.",
TR,EBX-Q-024,윤리경영 정책 및 목표,borderline,"주제(반부패 프로젝트·BIS 서밋 서약·윤리교육 이수율)는 on_topic이나, 윤리교육 과정명 '롯데인의 약속'에 그룹명 '롯데'가 [동종사례]로 가려지지 않고 원문대로 남아 출처기업(롯데 계열사) 식별 가능. 회사명 누출로 플래그.",발췌시_누출→마스킹보강_제거완료
EM,EBX-Q-014,제품 품질 및 안전 리스크 관리,on_topic,"표적 교체로 정주제 단락 재선택, 재판정 통과",표적교체
HC,EBX-Q-006,산업안전 리스크 식별 및 예방 활동,미확보,교체 후 재판정도 off_topic(섹터 코퍼스에 자사 주제 단락 부재) → 미확보 강등,표적교체
HC,EBX-Q-007,산업재해 발생 현황 및 안전 성과 지표,미확보,교체 후 재판정도 off_topic(섹터 코퍼스에 자사 주제 단락 부재) → 미확보 강등,표적교체
IF,EBX-Q-014,제품 품질 및 안전 리스크 관리,미확보,교체 후 재판정도 off_topic(섹터 코퍼스에 자사 주제 단락 부재) → 미확보 강등,표적교체
RT,EBX-Q-021,환경경영 조직 및 책임,borderline,"표적 교체로 정주제 단락 재선택, 재판정 통과",표적교체
SV,EBX-Q-012,제품 안전 및 품질 관리 정책,on_topic,"표적 교체로 정주제 단락 재선택, 재판정 통과",표적교체
SV,EBX-Q-016,정보보안 및 개인정보 보호 정책,on_topic,"표적 교체로 정주제 단락 재선택, 재판정 통과",표적교체
